,Time_Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCM06_N.B,RIFLGFCY01_N.B,RIFLGFCY02_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY07_N.B,RIFLGFCY10_N.B,RIFLGFCY20_N.B,RIFLGFCY30_N.B,Time_Period_YM,MARGIN_RIFLGFCM01_N.B,MARGIN_RIFLGFCM03_N.B,MARGIN_RIFLGFCM06_N.B,MARGIN_RIFLGFCY01_N.B,MARGIN_RIFLGFCY02_N.B,MARGIN_RIFLGFCY03_N.B,MARGIN_RIFLGFCY05_N.B,MARGIN_RIFLGFCY07_N.B,MARGIN_RIFLGFCY10_N.B,MARGIN_RIFLGFCY20_N.B,MARGIN_RIFLGFCY30_N.B
306,1987-07-31,,6.27,6.46,6.89,7.63,7.95,8.21,8.48,8.66,,8.89,1987-07-01,,0.35999999999999943,0.2699999999999996,0.1200000000000001,0.14999999999999947,0.1900000000000004,0.19000000000000128,0.2400000000000002,0.27999999999999936,,0.3800000000000008
307,1987-08-31,,6.45,6.62,7.23,7.97,8.27,8.52,8.83,9.0,,9.17,1987-08-01,,0.1800000000000006,0.16000000000000014,0.34000000000000075,0.33999999999999986,0.3199999999999994,0.3099999999999987,0.34999999999999964,0.33999999999999986,,0.27999999999999936
308,1987-09-30,,6.83,7.19,7.92,8.6,8.93,9.21,9.5,9.63,,9.79,1987-09-01,,0.3799999999999999,0.5700000000000003,0.6899999999999995,0.6299999999999999,0.6600000000000001,0.6900000000000013,0.6699999999999999,0.6300000000000008,,0.6199999999999992
309,1987-10-30,,5.45,6.27,6.75,7.58,8.0,8.37,8.69,8.88,,9.03,1987-10-01,,-1.38,-0.9200000000000008,-1.17,-1.0199999999999996,-0.9299999999999997,-0.8400000000000016,-0.8100000000000005,-0.75,,-0.7599999999999998
310,1987-11-30,,5.42,6.41,7.0,7.73,8.05,8.43,8.82,8.99,,9.1,1987-11-01,,-0.03000000000000025,0.14000000000000057,0.25,0.15000000000000036,0.05000000000000071,0.0600000000000005,0.13000000000000078,0.10999999999999943,,0.07000000000000028
311,1987-12-31,,5.86,6.47,7.1,7.77,8.04,8.33,8.67,8.83,,8.95,1987-12-01,,0.4400000000000004,0.05999999999999961,0.09999999999999964,0.03999999999999915,-0.010000000000001563,-0.09999999999999964,-0.15000000000000036,-0.16000000000000014,,-0.15000000000000036
312,1988-01-29,,5.82,6.32,6.66,7.22,7.48,7.76,8.06,8.26,,8.42,1988-01-01,,-0.040000000000000036,-0.14999999999999947,-0.4399999999999995,-0.5499999999999998,-0.5599999999999987,-0.5700000000000003,-0.6099999999999994,-0.5700000000000003,,-0.5299999999999994
313,1988-02-29,,5.8,6.06,6.63,7.13,7.33,7.64,7.95,8.16,,8.39,1988-02-01,,-0.020000000000000462,-0.2600000000000007,-0.03000000000000025,-0.08999999999999986,-0.15000000000000036,-0.1200000000000001,-0.11000000000000032,-0.09999999999999964,,-0.02999999999999936
314,1988-03-31,,5.87,6.32,6.76,7.41,7.66,8.04,8.4,8.57,,8.82,1988-03-01,,0.07000000000000028,0.2600000000000007,0.1299999999999999,0.28000000000000025,0.33000000000000007,0.39999999999999947,0.4500000000000002,0.41000000000000014,,0.4299999999999997
315,1988-04-29,,6.16,6.66,7.14,7.73,7.98,8.33,8.65,8.87,,9.11,1988-04-01,,0.29000000000000004,0.33999999999999986,0.3799999999999999,0.3200000000000003,0.3200000000000003,0.2900000000000009,0.25,0.29999999999999893,,0.28999999999999915
316,1988-05-31,,6.67,7.19,7.66,8.21,8.44,8.73,9.03,9.2,,9.3,1988-05-01,,0.5099999999999998,0.5300000000000002,0.5200000000000005,0.4800000000000004,0.4599999999999991,0.40000000000000036,0.379999999999999,0.33000000000000007,,0.19000000000000128
317,1988-06-30,,6.77,7.04,7.5,8.02,8.18,8.41,8.7,8.82,,8.87,1988-06-01,,0.09999999999999964,-0.15000000000000036,-0.16000000000000014,-0.19000000000000128,-0.2599999999999998,-0.3200000000000003,-0.33000000000000007,-0.379999999999999,,-0.4300000000000015
318,1988-07-29,,7.18,7.5,7.9,8.39,8.57,8.75,8.98,9.12,,9.23,1988-07-01,,0.41000000000000014,0.45999999999999996,0.40000000000000036,0.370000000000001,0.39000000000000057,0.33999999999999986,0.28000000000000114,0.29999999999999893,,0.3600000000000012
319,1988-08-31,,7.54,7.89,8.28,8.71,8.83,8.95,9.13,9.25,,9.31,1988-08-01,,0.3600000000000003,0.3899999999999997,0.379999999999999,0.3200000000000003,0.2599999999999998,0.1999999999999993,0.15000000000000036,0.13000000000000078,,0.08000000000000007
320,1988-09-30,,7.49,7.85,8.13,8.43,8.52,8.61,8.78,8.87,,8.98,1988-09-01,,-0.04999999999999982,-0.040000000000000036,-0.14999999999999858,-0.28000000000000114,-0.3100000000000005,-0.33999999999999986,-0.3500000000000014,-0.3800000000000008,,-0.33000000000000007
321,1988-10-31,,7.62,7.89,8.06,8.25,8.32,8.37,8.52,8.65,,8.74,1988-10-01,,0.1299999999999999,0.040000000000000036,-0.07000000000000028,-0.17999999999999972,-0.1999999999999993,-0.2400000000000002,-0.2599999999999998,-0.21999999999999886,,-0.2400000000000002
322,1988-11-30,,8.1,8.42,8.62,8.84,8.87,8.91,9.02,9.06,,9.07,1988-11-01,,0.47999999999999954,0.5300000000000002,0.5599999999999987,0.5899999999999999,0.5499999999999989,0.5400000000000009,0.5,0.41000000000000014,,0.33000000000000007
323,1988-12-30,,8.37,8.67,9.02,9.14,9.18,9.14,9.18,9.14,,9.0,1988-12-01,,0.2699999999999996,0.25,0.40000000000000036,0.3000000000000007,0.3100000000000005,0.23000000000000043,0.16000000000000014,0.08000000000000007,,-0.07000000000000028
324,1989-01-31,,8.69,8.91,9.04,9.12,9.13,9.08,9.03,9.01,,8.84,1989-01-01,,0.3200000000000003,0.2400000000000002,0.019999999999999574,-0.02000000000000135,-0.049999999999998934,-0.0600000000000005,-0.15000000000000036,-0.13000000000000078,,-0.16000000000000014
325,1989-02-28,,9.03,9.23,9.4,9.55,9.43,9.42,9.39,9.32,,9.14,1989-02-01,,0.33999999999999986,0.3200000000000003,0.3600000000000012,0.4300000000000015,0.29999999999999893,0.33999999999999986,0.3600000000000012,0.3100000000000005,,0.3000000000000007
326,1989-03-31,,9.23,9.54,9.64,9.73,9.66,9.53,9.4,9.3,,9.11,1989-03-01,,0.20000000000000107,0.3099999999999987,0.2400000000000002,0.17999999999999972,0.23000000000000043,0.10999999999999943,0.009999999999999787,-0.019999999999999574,,-0.030000000000001137
327,1989-04-28,,8.71,9.0,9.12,9.22,9.15,9.06,9.04,9.02,,8.91,1989-04-01,,-0.5199999999999996,-0.5399999999999991,-0.5200000000000014,-0.5099999999999998,-0.5099999999999998,-0.46999999999999886,-0.3600000000000012,-0.28000000000000114,,-0.1999999999999993
328,1989-05-31,,8.92,8.87,8.86,8.82,8.78,8.65,8.64,8.6,,8.6,1989-05-01,,0.20999999999999908,-0.13000000000000078,-0.2599999999999998,-0.40000000000000036,-0.370000000000001,-0.41000000000000014,-0.3999999999999986,-0.41999999999999993,,-0.3100000000000005
329,1989-06-30,,8.26,8.14,8.12,8.08,8.05,8.03,8.1,8.1,,8.05,1989-06-01,,-0.6600000000000001,-0.7299999999999986,-0.7400000000000002,-0.7400000000000002,-0.7299999999999986,-0.620000000000001,-0.5400000000000009,-0.5,,-0.5499999999999989
330,1989-07-31,,8.04,7.83,7.65,7.53,7.58,7.56,7.68,7.82,,7.92,1989-07-01,,-0.22000000000000064,-0.3100000000000005,-0.46999999999999886,-0.5499999999999998,-0.47000000000000064,-0.46999999999999975,-0.41999999999999993,-0.27999999999999936,,-0.13000000000000078
331,1989-08-31,,8.16,8.21,8.28,8.42,8.37,8.27,8.3,8.26,,8.21,1989-08-01,,0.120000000000001,0.3800000000000008,0.629999999999999,0.8899999999999997,0.7899999999999991,0.71,0.620000000000001,0.4399999999999995,,0.2900000000000009
332,1989-09-29,,8.18,8.34,8.48,8.46,8.46,8.36,8.4,8.31,,8.24,1989-09-01,,0.019999999999999574,0.129999999999999,0.20000000000000107,0.040000000000000924,0.09000000000000163,0.08999999999999986,0.09999999999999964,0.05000000000000071,,0.02999999999999936
333,1989-10-31,,8.04,7.99,7.88,7.85,7.91,7.86,7.92,7.92,,7.92,1989-10-01,,-0.14000000000000057,-0.34999999999999964,-0.6000000000000005,-0.6100000000000012,-0.5500000000000007,-0.4999999999999991,-0.4800000000000004,-0.39000000000000057,,-0.3200000000000003
334,1989-11-30,,7.84,7.78,7.72,7.75,7.75,7.74,7.83,7.84,,7.9,1989-11-01,,-0.1999999999999993,-0.20999999999999996,-0.16000000000000014,-0.09999999999999964,-0.16000000000000014,-0.1200000000000001,-0.08999999999999986,-0.08000000000000007,,-0.019999999999999574
335,1989-12-29,,7.8,7.87,7.76,7.87,7.87,7.86,7.97,7.93,,7.98,1989-12-01,,-0.040000000000000036,0.08999999999999986,0.040000000000000036,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.13999999999999968,0.08999999999999986,,0.08000000000000007
336,1990-01-31,,8.0,8.13,8.08,8.28,8.36,8.35,8.39,8.43,,8.46,1990-01-01,,0.20000000000000018,0.2600000000000007,0.3200000000000003,0.40999999999999925,0.4899999999999993,0.4899999999999993,0.4200000000000008,0.5,,0.4800000000000004
337,1990-02-28,,8.04,8.14,8.12,8.43,8.45,8.44,8.54,8.51,,8.54,1990-02-01,,0.03999999999999915,0.009999999999999787,0.03999999999999915,0.15000000000000036,0.08999999999999986,0.08999999999999986,0.14999999999999858,0.08000000000000007,,0.0799999999999983
338,1990-03-30,,8.07,8.24,8.35,8.64,8.69,8.65,8.7,8.65,,8.63,1990-03-01,,0.030000000000001137,0.09999999999999964,0.23000000000000043,0.21000000000000085,0.2400000000000002,0.21000000000000085,0.16000000000000014,0.14000000000000057,,0.09000000000000163
339,1990-04-30,,8.07,8.44,8.58,8.96,9.05,9.04,9.06,9.04,,9.0,1990-04-01,,0.0,0.1999999999999993,0.23000000000000043,0.3200000000000003,0.3600000000000012,0.3899999999999988,0.3600000000000012,0.3899999999999988,,0.3699999999999992
340,1990-05-31,,8.01,8.12,8.22,8.5,8.53,8.56,8.64,8.6,,8.58,1990-05-01,,-0.0600000000000005,-0.3200000000000003,-0.35999999999999943,-0.46000000000000085,-0.5200000000000014,-0.47999999999999865,-0.41999999999999993,-0.4399999999999995,,-0.41999999999999993
341,1990-06-29,,8.0,8.02,8.05,8.24,8.32,8.35,8.46,8.43,,8.41,1990-06-01,,-0.009999999999999787,-0.09999999999999964,-0.16999999999999993,-0.2599999999999998,-0.20999999999999908,-0.21000000000000085,-0.17999999999999972,-0.16999999999999993,,-0.16999999999999993
342,1990-07-31,,7.74,7.72,7.72,7.91,8.04,8.13,8.28,8.36,,8.42,1990-07-01,,-0.2599999999999998,-0.2999999999999998,-0.33000000000000096,-0.33000000000000007,-0.28000000000000114,-0.21999999999999886,-0.1800000000000015,-0.07000000000000028,,0.009999999999999787
343,1990-08-31,,7.63,7.74,7.76,8.07,8.26,8.5,8.77,8.86,,8.99,1990-08-01,,-0.11000000000000032,0.020000000000000462,0.040000000000000036,0.16000000000000014,0.22000000000000064,0.3699999999999992,0.4900000000000002,0.5,,0.5700000000000003
344,1990-09-28,,7.37,7.54,7.69,8.02,8.19,8.47,8.73,8.82,,8.96,1990-09-01,,-0.2599999999999998,-0.20000000000000018,-0.0699999999999994,-0.05000000000000071,-0.07000000000000028,-0.02999999999999936,-0.03999999999999915,-0.03999999999999915,,-0.02999999999999936
345,1990-10-31,,7.34,7.46,7.43,7.77,7.97,8.24,8.5,8.65,,8.78,1990-10-01,,-0.03000000000000025,-0.08000000000000007,-0.2600000000000007,-0.25,-0.21999999999999975,-0.23000000000000043,-0.23000000000000043,-0.16999999999999993,,-0.1800000000000015
346,1990-11-30,,7.24,7.36,7.31,7.53,7.67,7.91,8.18,8.26,,8.4,1990-11-01,,-0.09999999999999964,-0.09999999999999964,-0.1200000000000001,-0.23999999999999932,-0.2999999999999998,-0.33000000000000007,-0.3200000000000003,-0.39000000000000057,,-0.379999999999999
347,1990-12-31,,6.63,6.73,6.82,7.15,7.4,7.68,8.0,8.08,,8.26,1990-12-01,,-0.6100000000000003,-0.6299999999999999,-0.4899999999999993,-0.3799999999999999,-0.2699999999999996,-0.23000000000000043,-0.17999999999999972,-0.17999999999999972,,-0.14000000000000057
348,1991-01-31,,6.37,6.49,6.51,7.05,7.3,7.62,7.89,8.03,,8.21,1991-01-01,,-0.2599999999999998,-0.2400000000000002,-0.3100000000000005,-0.10000000000000053,-0.10000000000000053,-0.05999999999999961,-0.11000000000000032,-0.05000000000000071,,-0.049999999999998934
349,1991-02-28,,6.22,6.32,6.41,7.04,7.26,7.66,7.89,8.02,,8.19,1991-02-01,,-0.15000000000000036,-0.16999999999999993,-0.09999999999999964,-0.009999999999999787,-0.040000000000000036,0.040000000000000036,0.0,-0.009999999999999787,,-0.02000000000000135
350,1991-03-29,,5.92,6.05,6.28,7.02,7.3,7.73,7.96,8.05,,8.24,1991-03-01,,-0.2999999999999998,-0.27000000000000046,-0.1299999999999999,-0.020000000000000462,0.040000000000000036,0.07000000000000028,0.07000000000000028,0.030000000000001137,,0.05000000000000071
351,1991-04-30,,5.68,5.83,6.06,6.8,7.15,7.63,7.88,8.02,,8.2,1991-04-01,,-0.2400000000000002,-0.21999999999999975,-0.22000000000000064,-0.21999999999999975,-0.14999999999999947,-0.10000000000000053,-0.08000000000000007,-0.030000000000001137,,-0.040000000000000924
352,1991-05-31,,5.71,5.94,6.16,6.68,7.1,7.69,7.92,8.06,,8.26,1991-05-01,,0.03000000000000025,0.11000000000000032,0.10000000000000053,-0.1200000000000001,-0.05000000000000071,0.0600000000000005,0.040000000000000036,0.040000000000000924,,0.0600000000000005
353,1991-06-28,,5.71,5.95,6.32,6.9,7.33,7.9,8.14,8.24,,8.42,1991-06-01,,0.0,0.009999999999999787,0.16000000000000014,0.22000000000000064,0.23000000000000043,0.20999999999999996,0.22000000000000064,0.17999999999999972,,0.16000000000000014
354,1991-07-31,,5.7,5.93,6.19,6.81,7.21,7.77,8.03,8.2,,8.36,1991-07-01,,-0.009999999999999787,-0.020000000000000462,-0.1299999999999999,-0.09000000000000075,-0.1200000000000001,-0.13000000000000078,-0.11000000000000121,-0.040000000000000924,,-0.0600000000000005
