,Date,Beta0,Beta1,Beta2,Tau,Curve
128,1995-09-01,0.065074349297265,-0.010367739482744052,-0.009960441759174246,1.0,"NelsonSiegelCurve(beta0=0.065074349297265, beta1=-0.010367739482744052, beta2=-0.009960441759174246, tau=1.0)"
129,1995-10-01,0.06401219495509623,-0.007895637634816845,-0.015224068001811183,1.1958830378544918,"NelsonSiegelCurve(beta0=0.06401219495509623, beta1=-0.007895637634816845, beta2=-0.015224068001811183, tau=1.1958830378544918)"
130,1995-11-01,0.062399373824470576,-0.00576090314628791,-0.021718615049769158,1.3006491313304052,"NelsonSiegelCurve(beta0=0.062399373824470576, beta1=-0.00576090314628791, beta2=-0.021718615049769158, tau=1.3006491313304052)"
131,1995-12-01,0.060215739971527696,-0.0075802937473068936,-0.0170212456324145,1.2761614920520155,"NelsonSiegelCurve(beta0=0.060215739971527696, beta1=-0.0075802937473068936, beta2=-0.0170212456324145, tau=1.2761614920520155)"
132,1996-01-01,0.062034358499363396,-0.010145190126708389,-0.026267305413877905,1.389127461390643,"NelsonSiegelCurve(beta0=0.062034358499363396, beta1=-0.010145190126708389, beta2=-0.026267305413877905, tau=1.389127461390643)"
133,1996-02-01,0.06613147421378913,-0.015596629731764452,-0.01606822067025126,1.2695338308129658,"NelsonSiegelCurve(beta0=0.06613147421378913, beta1=-0.015596629731764452, beta2=-0.01606822067025126, tau=1.2695338308129658)"
134,1996-03-01,0.06765632719163357,-0.016934075065643206,-0.011754890160770604,1.0,"NelsonSiegelCurve(beta0=0.06765632719163357, beta1=-0.016934075065643206, beta2=-0.011754890160770604, tau=1.0)"
135,1996-04-01,0.07004586042645625,-0.020107185702099472,-0.006020112067106487,1.0,"NelsonSiegelCurve(beta0=0.07004586042645625, beta1=-0.020107185702099472, beta2=-0.006020112067106487, tau=1.0)"
136,1996-05-01,0.07116383548634908,-0.022157311092632,0.0013682219730125362,1.0,"NelsonSiegelCurve(beta0=0.07116383548634908, beta1=-0.022157311092632, beta2=0.0013682219730125362, tau=1.0)"
137,1996-06-01,0.0699688457649762,-0.02001252215792781,-0.002507330143041453,1.0,"NelsonSiegelCurve(beta0=0.0699688457649762, beta1=-0.02001252215792781, beta2=-0.002507330143041453, tau=1.0)"
138,1996-07-01,0.0705003273682135,-0.01927263586669264,-0.001564613739236432,1.0,"NelsonSiegelCurve(beta0=0.0705003273682135, beta1=-0.01927263586669264, beta2=-0.001564613739236432, tau=1.0)"
139,1996-08-01,0.07230438502114236,-0.021822938911721265,0.00020264828723612002,1.0,"NelsonSiegelCurve(beta0=0.07230438502114236, beta1=-0.021822938911721265, beta2=0.00020264828723612002, tau=1.0)"
140,1996-09-01,0.07008694681700701,-0.020283838535836846,-0.0028814032192777195,1.0,"NelsonSiegelCurve(beta0=0.07008694681700701, beta1=-0.020283838535836846, beta2=-0.0028814032192777195, tau=1.0)"
141,1996-10-01,0.06727046236652628,-0.01571262334468276,-0.011884369471361473,1.0,"NelsonSiegelCurve(beta0=0.06727046236652628, beta1=-0.01571262334468276, beta2=-0.011884369471361473, tau=1.0)"
142,1996-11-01,0.06401876520715744,-0.012328469207578775,-0.01151068479360546,1.0,"NelsonSiegelCurve(beta0=0.06401876520715744, beta1=-0.012328469207578775, beta2=-0.01151068479360546, tau=1.0)"
143,1996-12-01,0.06727791393976826,-0.016182449564939097,-0.007099910507920865,1.0,"NelsonSiegelCurve(beta0=0.06727791393976826, beta1=-0.016182449564939097, beta2=-0.007099910507920865, tau=1.0)"
144,1997-01-01,0.06848231702029328,-0.018087059563986707,-0.006934449552963352,1.0,"NelsonSiegelCurve(beta0=0.06848231702029328, beta1=-0.018087059563986707, beta2=-0.006934449552963352, tau=1.0)"
145,1997-02-01,0.06859045477203382,-0.01809738363429881,-0.002181120895749087,1.0,"NelsonSiegelCurve(beta0=0.06859045477203382, beta1=-0.01809738363429881, beta2=-0.002181120895749087, tau=1.0)"
146,1997-03-01,0.07161642479212738,-0.021005846325251876,0.004711301220557514,1.0,"NelsonSiegelCurve(beta0=0.07161642479212738, beta1=-0.021005846325251876, beta2=0.004711301220557514, tau=1.0)"
147,1997-04-01,0.06983480037579397,-0.01905990842445028,0.002293063930314476,1.0,"NelsonSiegelCurve(beta0=0.06983480037579397, beta1=-0.01905990842445028, beta2=0.002293063930314476, tau=1.0)"
148,1997-05-01,0.06917578975141414,-0.021409087820336466,0.005967119914775229,1.0,"NelsonSiegelCurve(beta0=0.06917578975141414, beta1=-0.021409087820336466, beta2=0.005967119914775229, tau=1.0)"
149,1997-06-01,0.06830119920130963,-0.01794155995369685,-0.0014241515099043785,1.0,"NelsonSiegelCurve(beta0=0.06830119920130963, beta1=-0.01794155995369685, beta2=-0.0014241515099043785, tau=1.0)"
150,1997-07-01,0.06307085939744662,-0.011050730362299295,-0.005989880467169022,1.0,"NelsonSiegelCurve(beta0=0.06307085939744662, beta1=-0.011050730362299295, beta2=-0.005989880467169022, tau=1.0)"
151,1997-08-01,0.06643759058412013,-0.015362029498577788,-0.0028292275906154703,1.0,"NelsonSiegelCurve(beta0=0.06643759058412013, beta1=-0.015362029498577788, beta2=-0.0028292275906154703, tau=1.0)"
152,1997-09-01,0.06412758268137038,-0.014360235750457464,-0.0023903792483999835,1.0,"NelsonSiegelCurve(beta0=0.06412758268137038, beta1=-0.014360235750457464, beta2=-0.0023903792483999835, tau=1.0)"
153,1997-10-01,0.06147830371103055,-0.009379683897883732,-0.006819024468197054,1.0,"NelsonSiegelCurve(beta0=0.06147830371103055, beta1=-0.009379683897883732, beta2=-0.006819024468197054, tau=1.0)"
154,1997-11-01,0.0603574951663459,-0.00880439341562388,0.0016081993245726611,1.0,"NelsonSiegelCurve(beta0=0.0603574951663459, beta1=-0.00880439341562388, beta2=0.0016081993245726611, tau=1.0)"
155,1997-12-01,0.05937584975382757,-0.0058339741146927705,-0.002749850801126559,1.0,"NelsonSiegelCurve(beta0=0.05937584975382757, beta1=-0.0058339741146927705, beta2=-0.002749850801126559, tau=1.0)"
156,1998-01-01,0.05817430235376784,-0.005052220669780085,-0.011625373647206259,1.0,"NelsonSiegelCurve(beta0=0.05817430235376784, beta1=-0.005052220669780085, beta2=-0.011625373647206259, tau=1.0)"
157,1998-02-01,0.059008644081885844,-0.00557398166786959,-0.006524108925264883,1.0,"NelsonSiegelCurve(beta0=0.059008644081885844, beta1=-0.00557398166786959, beta2=-0.006524108925264883, tau=1.0)"
158,1998-03-01,0.059198391248809275,-0.007947686961128922,-0.0018080323384560718,1.0,"NelsonSiegelCurve(beta0=0.059198391248809275, beta1=-0.007947686961128922, beta2=-0.0018080323384560718, tau=1.0)"
159,1998-04-01,0.059198971848068396,-0.009553211337024985,0.000789514880979226,1.0,"NelsonSiegelCurve(beta0=0.059198971848068396, beta1=-0.009553211337024985, beta2=0.000789514880979226, tau=1.0)"
160,1998-05-01,0.057696305847003325,-0.007129499205527648,0.0010074012395013864,1.0,"NelsonSiegelCurve(beta0=0.057696305847003325, beta1=-0.007129499205527648, beta2=0.0010074012395013864, tau=1.0)"
161,1998-06-01,0.05597278667719158,-0.00541377766685877,0.002721643614443206,1.0,"NelsonSiegelCurve(beta0=0.05597278667719158, beta1=-0.00541377766685877, beta2=0.002721643614443206, tau=1.0)"
162,1998-07-01,0.05694998776392149,-0.006296306035393722,0.00044496171899360403,1.0,"NelsonSiegelCurve(beta0=0.05694998776392149, beta1=-0.006296306035393722, beta2=0.00044496171899360403, tau=1.0)"
163,1998-08-01,0.053761082039619476,-0.0021366426915394674,-0.01458257153403343,1.2576451276843272,"NelsonSiegelCurve(beta0=0.053761082039619476, beta1=-0.0021366426915394674, beta2=-0.01458257153403343, tau=1.2576451276843272)"
164,1998-09-01,0.053062047972273714,-0.007092237310018797,-0.02454888362260391,2.343875401690085,"NelsonSiegelCurve(beta0=0.053062047972273714, beta1=-0.007092237310018797, beta2=-0.02454888362260391, tau=2.343875401690085)"
165,1998-10-01,0.055460294979314866,-0.01051834938545184,-0.029351455164520833,2.0602226765834497,"NelsonSiegelCurve(beta0=0.055460294979314866, beta1=-0.01051834938545184, beta2=-0.029351455164520833, tau=2.0602226765834497)"
166,1998-11-01,0.053125317299590566,-0.006107827769018711,-0.017840025822561868,1.846814987091654,"NelsonSiegelCurve(beta0=0.053125317299590566, beta1=-0.006107827769018711, beta2=-0.017840025822561868, tau=1.846814987091654)"
167,1998-12-01,0.05297991539081068,-0.006670710717817774,-0.01610505162224557,1.7884302300317692,"NelsonSiegelCurve(beta0=0.05297991539081068, beta1=-0.006670710717817774, beta2=-0.01610505162224557, tau=1.7884302300317692)"
168,1999-01-01,0.0531764053989624,-0.007526283198733783,-0.014076211098149065,2.1082902247862543,"NelsonSiegelCurve(beta0=0.0531764053989624, beta1=-0.007526283198733783, beta2=-0.014076211098149065, tau=2.1082902247862543)"
169,1999-02-01,0.056534051768585836,-0.010346787534846935,-0.006082043441854297,1.0,"NelsonSiegelCurve(beta0=0.056534051768585836, beta1=-0.010346787534846935, beta2=-0.006082043441854297, tau=1.0)"
170,1999-03-01,0.05720311479033777,-0.012449764205230612,-0.010106881614031536,1.0,"NelsonSiegelCurve(beta0=0.05720311479033777, beta1=-0.012449764205230612, beta2=-0.010106881614031536, tau=1.0)"
171,1999-04-01,0.05766721722603942,-0.01232864781572716,-0.008436339844854604,1.0,"NelsonSiegelCurve(beta0=0.05766721722603942, beta1=-0.01232864781572716, beta2=-0.008436339844854604, tau=1.0)"
172,1999-05-01,0.05982911540804276,-0.014860614521513679,-0.0003832491620004517,1.0,"NelsonSiegelCurve(beta0=0.05982911540804276, beta1=-0.014860614521513679, beta2=-0.0003832491620004517, tau=1.0)"
173,1999-06-01,0.06130879216417524,-0.014310023572235729,-0.003059496560025112,1.0,"NelsonSiegelCurve(beta0=0.06130879216417524, beta1=-0.014310023572235729, beta2=-0.003059496560025112, tau=1.0)"
174,1999-07-01,0.06259854463020585,-0.017464557768118068,0.00036550045532267924,1.0,"NelsonSiegelCurve(beta0=0.06259854463020585, beta1=-0.017464557768118068, beta2=0.00036550045532267924, tau=1.0)"
175,1999-08-01,0.06285721823578098,-0.01440118535165316,-0.0002758076302048036,1.0,"NelsonSiegelCurve(beta0=0.06285721823578098, beta1=-0.01440118535165316, beta2=-0.0002758076302048036, tau=1.0)"
